App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-cli;BasicParserTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\BasicParser.java;188;27;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0
commons-cli;CommandLineTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\CommandLine.java;155;8;16;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;5
commons-cli;DefaultParserTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\DefaultParser.java;123;10;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
commons-cli;GnuParserTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\GnuParser.java;158;22;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0
commons-cli;HelpFormatterTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\HelpFormatter.java;638;28;18;8;0;0;0;0;0;10;0;0;0;0;28;2;0;0;1;3;0;0;6
commons-cli;OptionBuilderTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\OptionBuilder.java;192;9;30;9;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;7;0;0;7
commons-cli;OptionGroupTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\OptionGroup.java;239;16;7;2;0;0;0;0;0;2;2;0;1;0;2;0;0;0;0;2;0;0;2
commons-cli;OptionsTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\Options.java;168;10;11;8;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;3
commons-cli;PatternOptionBuilderTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\PatternOptionBuilder.java;188;10;6;0;0;0;0;0;0;5;0;0;0;0;0;1;0;1;0;3;0;0;1
commons-cli;PosixParserTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\PosixParser.java;89;10;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
commons-cli;UtilTest;C:\Users\Danny\.jnose_projects\commons-cli\src\ATSQA_main.main\java\org\apache\commons\cli\Util.java;42;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
