App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-dbcp;CharArrayTest;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\datasources\CharArray.java;57;5;7;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-dbcp;TestCPDSConnectionFactory;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\datasources\CPDSConnectionFactory.java;194;8;24;5;0;0;2;0;0;17;0;0;0;0;0;1;0;0;8;4;0;0;4
commons-dbcp;TestKeyedCPDSConnectionFactory;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\datasources\KeyedCPDSConnectionFactory.java;162;5;20;2;0;0;1;0;0;17;0;0;0;0;0;1;0;0;6;3;0;0;2
commons-dbcp;TestPerUserPoolDataSource;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\datasources\PerUserPoolDataSource.java;1706;133;296;116;0;0;2;0;0;48;16;0;2;0;0;5;0;0;37;9;0;0;67
commons-dbcp;TestPoolKey;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\datasources\PoolKey.java;65;6;13;2;0;0;0;3;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1
commons-dbcp;TestUserPassKey;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\datasources\UserPassKey.java;78;8;16;1;0;0;0;2;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1
commons-dbcp;TestBasicManagedDataSource;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\managed\BasicManagedDataSource.java;242;13;12;9;0;0;1;0;0;2;1;0;0;0;0;1;0;0;0;12;0;0;11
commons-dbcp;TestManagedDataSource;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\managed\ManagedDataSource.java;289;21;26;0;0;0;2;0;0;3;4;0;3;0;0;0;0;0;0;7;0;0;2
commons-dbcp;TestPoolableManagedConnection;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\managed\PoolableManagedConnection.java;145;10;13;2;0;0;0;0;0;8;0;0;1;0;0;0;0;0;6;1;0;0;1
commons-dbcp;TestAbandonedTrace;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\AbandonedTrace.java;34;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-dbcp;TestBasicDataSource;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\BasicDataSource.java;1196;54;157;43;0;7;4;0;0;44;16;0;1;0;1;5;0;0;22;21;0;0;123
commons-dbcp;TestBasicDataSourceFactory;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\BasicDataSourceFactory.java;218;7;6;0;0;0;1;0;0;2;3;0;0;0;1;0;0;0;0;4;0;0;2
commons-dbcp;TestBasicDataSourceMXBean;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\BasicDataSourceMXBean.java;265;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
commons-dbcp;TestConstants;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\Constants.java;39;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-dbcp;TestDelegatingCallableStatement;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\DelegatingCallableStatement.java;1159;128;3;0;0;0;121;0;0;0;0;0;2;0;0;0;0;0;0;121;0;0;39
commons-dbcp;TestDelegatingDatabaseMetaData;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\DelegatingDatabaseMetaData.java;1488;184;11;2;0;0;176;0;0;0;0;0;3;0;0;0;0;0;0;174;0;0;2
commons-dbcp;TestDelegatingPreparedStatement;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\DelegatingPreparedStatement.java;534;66;3;2;0;0;58;0;0;0;0;0;2;0;0;0;0;0;0;58;0;0;14
commons-dbcp;TestDelegatingResultSet;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\DelegatingResultSet.java;1835;201;10;1;0;0;194;0;0;0;0;0;3;0;2;0;0;0;0;194;0;0;56
commons-dbcp;TestDriverConnectionFactory;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\DriverConnectionFactory.java;48;2;2;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-dbcp;TestLifetimeExceededException;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\LifetimeExceededException.java;41;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
commons-dbcp;TestListException;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\ListException.java;50;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
commons-dbcp;TestPoolableConnection;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\PoolableConnection.java;225;10;18;3;0;0;0;0;0;11;1;0;1;0;0;1;0;0;2;6;0;0;3
commons-dbcp;TestPoolingConnection;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\PoolingConnection.java;171;12;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;2
commons-dbcp;TestPoolingDataSource;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\PoolingDataSource.java;222;15;22;8;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;1;0;0;2
commons-dbcp;TestPoolingDriver;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\PoolingDriver.java;255;11;18;3;0;0;2;0;0;4;3;0;1;0;0;2;0;0;3;1;0;0;2
commons-dbcp;TestPStmtKey;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\PStmtKey.java;263;10;71;7;0;0;0;15;0;42;0;0;0;0;4;4;0;0;0;0;0;0;3
commons-dbcp;TestUtils;C:\Users\Danny\.jnose_projects\commons-dbcp\src\ATSQA_main.main\java\org\apache\commons\dbcp2\Utils.java;28;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
