App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-io;ByteOrderMarkTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\ByteOrderMark.java;127;12;29;0;0;0;0;0;0;16;0;0;0;0;3;0;0;0;1;0;0;0;2
commons-io;ByteOrderParserTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\ByteOrderParser.java;46;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;CharsetDecodersTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\charset\CharsetDecoders.java;54;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;CharsetEncodersTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\charset\CharsetEncoders.java;54;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;CharsetsTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\Charsets.java;96;9;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;CompositeFileComparatorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java;118;4;5;3;0;0;0;0;0;7;0;0;0;0;4;0;0;1;0;0;0;0;3
commons-io;DirectoryFileComparatorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\DirectoryFileComparator.java;58;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
commons-io;ExtensionFileComparatorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\ExtensionFileComparator.java;59;2;3;1;1;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
commons-io;NameFileComparatorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\NameFileComparator.java;58;2;3;1;1;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
commons-io;PathFileComparatorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\PathFileComparator.java;59;2;3;1;1;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
commons-io;SizeFileComparatorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java;103;7;4;0;1;0;0;0;0;4;0;0;4;0;0;0;0;1;0;0;0;0;1
commons-io;CopyUtilsTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java;255;15;26;0;0;0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1
commons-io;EndianUtilsTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java;311;22;94;2;0;0;1;0;0;18;1;0;0;0;0;0;0;0;26;0;0;0;10
commons-io;AccumulatorPathVisitorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\AccumulatorPathVisitor.java;259;10;28;6;0;1;2;14;0;16;5;0;0;2;0;1;0;0;0;1;0;0;5
commons-io;FileTimesTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\attribute\FileTimes.java;182;17;21;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
commons-io;CleaningPathVisitorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\CleaningPathVisitor.java;139;8;21;4;0;0;2;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3
commons-io;CopyDirectoryVisitorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\CopyDirectoryVisitor.java;145;7;31;5;0;0;0;6;0;5;0;0;0;0;0;0;0;0;1;2;0;0;5
commons-io;CountersTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\Counters.java;79;6;4;2;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4
commons-io;CountingPathVisitorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\CountingPathVisitor.java;89;6;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0
commons-io;DeletingPathVisitorTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\DeletingPathVisitor.java;118;8;1;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;DirectoryStreamFilterTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\DirectoryStreamFilter.java;62;3;5;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2
commons-io;FilesUncheckTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\FilesUncheck.java;453;65;54;21;0;0;3;0;0;17;0;0;0;0;0;0;0;0;0;11;0;0;17
commons-io;PathUtilsTest;C:\Users\Danny\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\file\PathUtils.java;519;47;63;5;1;0;4;0;0;3;5;0;0;0;1;1;0;1;9;14;0;0;4
