App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-lang;AnnotationUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\AnnotationUtils.java;528;23;30;0;0;0;0;0;0;0;5;0;0;0;2;1;0;0;0;0;0;0;1
commons-lang;ArchUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\ArchUtils.java;192;17;30;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;14;0;0;0;1
commons-lang;ArraySorterTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\ArraySorter.java;100;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-lang;BitFieldTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\BitField.java;259;18;95;5;0;0;0;0;0;53;9;0;0;0;0;0;0;0;0;0;0;0;7
commons-lang;BooleanUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\BooleanUtils.java;1155;88;221;7;0;0;0;0;0;27;0;0;0;0;21;8;0;0;5;0;0;0;12
commons-lang;MultilineRecursiveToStringStyleTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\builder\MultilineRecursiveToStringStyle.java;310;25;14;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
commons-lang;RecursiveToStringStyleTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\builder\RecursiveToStringStyle.java;163;14;34;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0
commons-lang;ReflectionToStringBuilderTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\builder\ReflectionToStringBuilder.java;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-lang;StandardToStringStyleTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\builder\StandardToStringStyle.java;230;26;61;9;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;1
commons-lang;ToStringBuilderTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\builder\ToStringBuilder.java;1284;113;287;59;0;0;1;0;0;1;2;0;0;0;228;0;0;0;5;1;0;0;73
commons-lang;CharEncodingTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\CharEncoding.java;84;6;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-lang;CharRangeTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\CharRange.java;381;17;174;16;0;0;0;6;0;0;1;0;0;0;8;2;0;0;6;0;0;0;10
commons-lang;CharSequenceUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\CharSequenceUtils.java;311;16;18;1;0;0;4;0;0;9;5;0;0;3;3;1;0;0;0;0;0;0;5
commons-lang;CharsetsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\Charsets.java;51;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-lang;CharSetTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\CharSet.java;471;15;204;10;0;0;0;6;0;40;0;0;0;0;14;7;0;0;30;0;0;0;4
commons-lang;CharSetUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\CharSetUtils.java;247;11;142;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;2;0;0;0;5
commons-lang;CharUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\CharUtils.java;350;27;137;0;0;0;0;4;0;31;20;0;0;0;7;0;0;0;3;0;0;0;5
commons-lang;ClassLoaderUtilsTest;C:\Users\Danny\.jnose_projects\commons-lang\src\ATSQA_main.main\java\org\apache\commons\lang3\ClassLoaderUtils.java;50;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1
