App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-text;AlphabetConverterTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\AlphabetConverter.java;300;31;24;9;0;0;3;0;0;0;3;0;0;1;1;1;0;0;0;0;0;0;6
commons-text;CaseUtilsTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\CaseUtils.java;76;2;30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
commons-text;CharacterPredicatesTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\CharacterPredicates.java;113;7;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-text;CompositeFormatTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\CompositeFormat.java;87;2;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
commons-text;BiFunctionStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\BiFunctionStringLookup.java;110;8;8;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
commons-text;BiStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\BiStringLookup.java;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-text;ConstantStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\ConstantStringLookup.java;141;14;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-text;DateStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\DateStringLookup.java;68;4;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;DefaultStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\DefaultStringLookup.java;71;2;18;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
commons-text;DnsStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\DnsStringLookup.java;83;7;7;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;FileStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\FileStringLookup.java;67;6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;FunctionStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\FunctionStringLookup.java;63;5;5;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
commons-text;InterpolatorStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\InterpolatorStringLookup.java;126;13;7;3;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2
commons-text;JavaPlatformStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\JavaPlatformStringLookup.java;59;5;3;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
commons-text;LocalHostStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\LocalHostStringLookup.java;65;6;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;PropertiesStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\PropertiesStringLookup.java;113;13;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
commons-text;ResourceBundleStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\ResourceBundleStringLookup.java;95;11;7;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
commons-text;ScriptStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\ScriptStringLookup.java;81;10;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;StringLookupFactoryTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\StringLookupFactory.java;93;4;17;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-text;UrlDecoderStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\UrlDecoderStringLookup.java;71;7;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;UrlEncoderStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\UrlEncoderStringLookup.java;61;5;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;UrlStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\UrlStringLookup.java;83;8;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
commons-text;XmlStringLookupTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\lookup\XmlStringLookup.java;59;6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
commons-text;DoubleFormatTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\numbers\DoubleFormat.java;595;24;0;13;0;0;13;0;0;0;0;0;0;14;0;8;0;0;0;0;0;0;14
commons-text;RandomStringGeneratorTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\RandomStringGenerator.java;279;23;14;17;0;0;0;0;0;4;17;0;0;0;0;0;0;0;0;0;0;0;4
commons-text;CosineDistanceTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\similarity\CosineDistance.java;69;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-text;CosineSimilarityTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\similarity\CosineSimilarity.java;68;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-text;FuzzyScoreTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\similarity\FuzzyScore.java;73;7;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
commons-text;HammingDistanceTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\similarity\HammingDistance.java;59;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-text;IntersectionResultTest;C:\Users\Danny\.jnose_projects\commons-text\src\ATSQA_main.main\java\org\apache\commons\text\similarity\IntersectionResult.java;143;9;11;3;0;0;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;1
