App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
crawljax;JarRunnerTest;C:\Users\Danny\.jnose_projects\crawljax\cli\src\main\java\com\crawljax\cli\JarRunner.java;194;28;14;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1
crawljax;LogUtilTest;C:\Users\Danny\.jnose_projects\crawljax\cli\src\main\java\com\crawljax\cli\LogUtil.java;84;6;7;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
crawljax;WaitConditionTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\condition\browserwaiter\WaitCondition.java;114;14;0;7;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4
crawljax;ConditionTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\condition\Condition.java;173;9;13;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0
crawljax;CandidateElementManagerTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\CandidateElementManager.java;152;6;0;3;0;2;0;0;0;1;2;0;0;0;0;2;0;0;3;1;0;0;3
crawljax;CandidateElementTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\CandidateElement.java;116;12;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
crawljax;CrawlControllerTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\CrawlController.java;199;26;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
crawljax;CrawlerTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\Crawler.java;229;31;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
crawljax;ExitNotifierTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\ExitNotifier.java;31;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
crawljax;PluginsTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\plugin\Plugins.java;169;24;9;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0
crawljax;ElementTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\state\Element.java;33;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crawljax;EventableTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\state\Eventable.java;185;8;23;7;0;0;0;0;0;4;0;0;0;1;1;1;0;0;2;0;0;0;3
crawljax;StateFlowGraphTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\state\StateFlowGraph.java;291;16;57;0;0;0;0;1;0;18;4;0;6;0;1;3;0;0;1;0;0;0;0
crawljax;StateMachineTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\state\StateMachine.java;301;18;32;4;0;0;0;0;0;0;0;0;1;0;0;2;0;0;7;0;0;0;3
crawljax;StateVertexTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\core\state\StateVertex.java;98;14;14;3;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;1
crawljax;RandomInputValueGeneratorTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\forms\RandomInputValueGenerator.java;45;9;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
crawljax;WebServerTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\test\java\com\crawljax\test\WebServer.java;43;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crawljax;DOMComparerTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\util\DOMComparer.java;59;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
crawljax;DomUtilsTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\util\DomUtils.java;517;16;34;12;1;0;0;0;0;4;0;0;0;0;0;3;0;0;2;3;0;0;5
crawljax;HtmlNamespaceTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\util\HtmlNamespace.java;33;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
crawljax;UrlUtilsTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\util\UrlUtils.java;115;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
crawljax;XMLObjectTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\util\XMLObject.java;43;2;5;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0
crawljax;XPathHelperTest;C:\Users\Danny\.jnose_projects\crawljax\core\src\main\java\com\crawljax\util\XPathHelper.java;126;8;19;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;1
crawljax;BeanToReadableMapTest;C:\Users\Danny\.jnose_projects\crawljax\plugins\crawloverview-plugin\src\main\java\com\crawljax\plugins\crawloverview\BeanToReadableMap.java;22;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
crawljax;ImageWriterTest;C:\Users\Danny\.jnose_projects\crawljax\plugins\testcasegenerator-plugin\src\main\java\com\crawljax\plugins\testcasegenerator\ImageWriter.java;45;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
crawljax;OutputBuilderTest;C:\Users\Danny\.jnose_projects\crawljax\plugins\crawloverview-plugin\src\main\java\com\crawljax\plugins\crawloverview\OutputBuilder.java;52;7;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
crawljax;ObjectDetectionTest;C:\Users\Danny\.jnose_projects\crawljax\plugins\testcasegenerator-plugin\src\main\java\com\crawljax\plugins\testcasegenerator\visualdiff\ObjectDetection.java;94;5;3;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;4
