App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
google-java-format;CommandLineOptionsParserTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\CommandLineOptionsParser.java;207;20;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
google-java-format;FormattingFilerTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\filer\FormattingFiler.java;150;5;2;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;6
google-java-format;FormatterTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\Formatter.java;495;35;41;22;0;0;4;0;0;0;0;0;0;0;6;1;0;0;1;1;0;0;3
google-java-format;GoogleJavaFormatToolProviderTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\GoogleJavaFormatToolProvider.java;57;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
google-java-format;MainTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\Main.java;616;25;52;19;1;0;0;0;0;0;0;0;0;0;21;3;0;1;1;3;0;0;2
google-java-format;ModifierOrdererTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\ModifierOrderer.java;106;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
google-java-format;RemoveUnusedImportsTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\RemoveUnusedImports.java;284;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
google-java-format;SnippetFormatterTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\SnippetFormatter.java;102;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
google-java-format;StringWrapperTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\StringWrapper.java;58;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
google-java-format;TypeNameClassifierTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\java\TypeNameClassifier.java;76;4;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
google-java-format;NewlinesTest;C:\Users\Danny\.jnose_projects\google-java-format\core\src\main\java\com\google\googlejavaformat\Newlines.java;110;4;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;3
