App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
jfreechart;CategoryLineAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java;185;6;21;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
jfreechart;CategoryPointerAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java;180;5;30;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
jfreechart;CategoryTextAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java;131;5;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
jfreechart;TextAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\TextAnnotation.java;184;6;22;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;6
jfreechart;XYBoxAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYBoxAnnotation.java;222;7;17;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1
jfreechart;XYLineAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYLineAnnotation.java;202;8;27;3;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;1
jfreechart;XYPointerAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYPointerAnnotation.java;180;5;30;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
jfreechart;XYPolygonAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java;160;5;17;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
jfreechart;XYShapeAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYShapeAnnotation.java;175;5;17;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
jfreechart;XYTextAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYTextAnnotation.java;186;5;32;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2
jfreechart;XYTitleAnnotationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\annotations\XYTitleAnnotation.java;157;5;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
jfreechart;RectangleAlignmentTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\api\RectangleAlignment.java;104;1;12;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;0
jfreechart;AxisLocationTest;C:\Users\Danny\.jnose_projects\jfreechart\src\ATSQA_main.main\java\org\jfree\chart\axis\AxisLocation.java;87;3;8;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
