App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
logging-log4j2;BasicConfiguratorTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\BasicConfigurator.java;56;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
logging-log4j2;LogEventWrapperTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\bridge\LogEventWrapper.java;50;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
logging-log4j2;BuilderManagerTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\builders\BuilderManager.java;53;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logging-log4j2;LevelRangeFilterBuilderTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\builders\filter\LevelRangeFilterBuilder.java;211;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logging-log4j2;PatternLayoutBuilderTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\builders\layout\PatternLayoutBuilder.java;57;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logging-log4j2;CategoryTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\Category.java;440;25;16;8;0;0;2;0;0;13;0;0;0;1;1;2;0;0;7;2;0;0;18
logging-log4j2;AsyncAppenderTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-core\src\main\java\org\apache\logging\log4j\core\appender\AsyncAppender.java;78;2;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;1
logging-log4j2;Log4j1ConfigurationFactoryTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationFactory.java;191;20;13;0;0;0;14;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
logging-log4j2;PropertiesConfigurationFactoryTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-core\src\main\java\org\apache\logging\log4j\core\config\properties\PropertiesConfigurationFactory.java;51;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
logging-log4j2;PropertiesConfigurationTest;C:\Users\Danny\.jnose_projects\logging-log4j2\log4j-core\src\main\java\org\apache\logging\log4j\core\config\properties\PropertiesConfiguration.java;362;30;33;0;1;0;17;0;0;10;3;0;0;0;0;1;0;1;2;10;0;0;0
