App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
mybatis-3;FlushTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\annotations\Flush.java;88;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mybatis-3;ParameterExpressionTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\builder\ParameterExpression.java;149;14;48;0;0;0;0;0;0;12;0;0;0;0;3;0;0;0;0;2;0;0;1
mybatis-3;SqlSourceBuilderTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\builder\SqlSourceBuilder.java;56;6;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1
mybatis-3;DynamicSqlSourceTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\scripting\xmltags\DynamicSqlSource.java;415;28;34;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2
mybatis-3;ExpressionEvaluatorTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\scripting\xmltags\ExpressionEvaluator.java;89;9;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
mybatis-3;XmlConfigBuilderTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\builder\xml\XMLConfigBuilder.java;322;11;86;5;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;4
mybatis-3;XmlMapperBuilderTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\builder\xml\XMLMapperBuilder.java;224;16;14;4;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2
mybatis-3;XmlConfigBuilderTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\builder\xml\XMLConfigBuilder.java;167;2;74;2;0;0;0;0;0;5;0;0;0;0;2;2;0;0;0;2;0;0;2
mybatis-3;XmlMapperBuilderTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\builder\xml\XMLMapperBuilder.java;54;1;6;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
mybatis-3;CacheKeyTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\cache\CacheKey.java;133;11;22;7;0;2;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;4
mybatis-3;FifoCacheTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\cache\decorators\FifoCache.java;61;3;9;3;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;3
mybatis-3;LruCacheTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\cache\decorators\LruCache.java;61;3;9;3;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;3
mybatis-3;PerpetualCacheTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\cache\impl\PerpetualCache.java;78;5;9;5;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;3
mybatis-3;ScheduledCacheTest;C:\Users\Danny\.jnose_projects\mybatis-3\src\ATSQA_main.main\java\org\apache\ibatis\cache\decorators\ScheduledCache.java;69;3;8;3;0;1;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;4
